num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
4,30,1,8,21,0.4364210367202759,6,7,0.5073124766349792,8,23,8,6,0.49906066060066223
4,40,1,8,21,0.43716925382614136,6,5,0.5267831087112427,8,21,8,4,0.522095263004303
5,10,1,8,18,0.39232292771339417,4,10,0.5426511764526367,8,21,5,7,0.5212059617042542
5,20,1,8,20,0.4000532925128937,5,8,0.5519943237304688,8,26,6,7,0.5236091613769531
5,30,1,8,20,0.39090272784233093,5,8,0.5302676558494568,8,24,7,5,0.5089749097824097
5,40,1,8,22,0.3981766998767853,5,8,0.5459074378013611,8,26,7,5,0.5189019441604614
6,10,2,9,29,0.29261982440948486,14,20,0.3222321569919586,14,28,14,29,0.19499672949314117
6,20,2,9,27,0.3503579795360565,14,11,0.38599640130996704,10,29,11,18,0.2581937611103058
6,30,2,9,24,0.37562692165374756,14,9,0.4069575071334839,12,28,14,18,0.3013194799423218
6,40,2,9,26,0.3803791403770447,14,8,0.38964444398880005,10,29,11,19,0.28974148631095886
7,10,2,9,27,0.3242340385913849,14,12,0.36529475450515747,12,29,13,23,0.23501081764698029
7,20,2,9,24,0.3627420663833618,13,9,0.40770724415779114,11,29,13,16,0.28942999243736267
7,30,2,9,26,0.36738577485084534,14,10,0.40585848689079285,10,29,11,18,0.27790987491607666
7,40,2,9,25,0.3552660644054413,14,11,0.41482287645339966,11,29,12,21,0.2688334584236145
8,10,2,9,24,0.429151713848114,14,29,-0.050239238888025284,9,24,14,24,0.198415145277977
8,20,2,9,26,0.4285244047641754,14,29,-0.06233927980065346,9,26,14,25,0.16555169224739075
8,30,2,9,24,0.3572268486022949,14,29,0.018144214525818825,9,23,14,9,0.22017136216163635
8,40,2,9,27,0.2474144846200943,14,29,0.07500812411308289,8,29,10,6,0.20763295888900757
9,10,2,3,29,0.15016591548919678,5,29,0.23621873557567596,8,27,8,7,0.2677784860134125
9,20,2,3,29,0.18504585325717926,6,29,0.42047595977783203,8,23,7,8,0.4381512701511383
9,30,2,3,29,0.1856711208820343,8,6,0.44468656182289124,8,24,7,8,0.45832785964012146
9,40,2,3,29,0.1441899538040161,6,10,0.47291532158851624,8,29,6,9,0.4614451825618744
20,10,2,9,21,0.8683781623840332,5,29,-0.048297662287950516,9,20,14,10,0.6259430646896362
20,20,2,8,29,0.8819408416748047,5,29,-0.0025034022983163595,8,29,14,7,0.676382303237915
20,30,2,9,14,0.7481372356414795,5,29,0.14383924007415771,8,19,14,4,0.662992000579834
20,40,2,8,19,0.6215070486068726,5,29,0.27371472120285034,7,21,7,0,0.6693868637084961
22,10,0,9,26,0.4489736258983612,14,29,0.3903321623802185,11,20,11,29,0.49226272106170654
22,20,0,8,29,0.47906187176704407,14,29,0.4244717061519623,10,15,10,29,0.5876867771148682
22,30,0,8,29,0.4083481729030609,14,5,0.4461950957775116,8,23,10,5,0.6105610728263855
22,40,0,8,29,0.4067937135696411,14,3,0.5480882525444031,8,20,10,3,0.689337432384491
24,10,1,8,20,0.5788969397544861,4,9,0.4009910225868225,8,19,14,3,0.5476828217506409
24,20,1,8,19,0.4934479892253876,5,7,0.4395815432071686,8,20,10,5,0.5102157592773438
24,30,1,8,18,0.4493821859359741,5,5,0.4809178411960602,8,17,9,3,0.5095141530036926
24,40,1,8,23,0.47336170077323914,7,5,0.4452812075614929,8,25,9,9,0.4849824607372284
26,10,2,9,27,0.3342841863632202,14,9,0.34652093052864075,12,29,14,19,0.2404145747423172
26,20,2,8,29,0.4094527065753937,8,12,0.43120452761650085,9,29,10,11,0.3287256956100464
26,30,2,9,25,0.41264909505844116,14,9,0.44355300068855286,12,28,14,18,0.320615291595459
26,40,2,8,29,0.44655436277389526,10,8,0.4719909429550171,10,28,12,12,0.3727428615093231
28,10,2,8,29,0.5155884027481079,14,29,-0.12427633255720139,8,29,13,28,0.26542770862579346
28,20,2,8,29,0.43407756090164185,14,29,-0.10189849138259888,8,29,13,28,0.2522609531879425
28,30,2,8,29,0.4487268924713135,14,29,-0.09058022499084473,8,29,13,28,0.2544810175895691
28,40,2,8,29,0.3528791666030884,14,29,-0.030487677082419395,8,29,13,27,0.22495898604393005
40,10,2,9,22,0.5299695730209351,14,29,0.2229146510362625,13,17,12,29,0.5002565979957581
40,20,2,8,29,0.7295622229576111,14,29,0.15391680598258972,14,13,12,29,0.6345696449279785
40,30,2,8,22,0.6163803935050964,5,29,0.30809420347213745,8,16,10,9,0.6746866106987
40,40,2,8,23,0.49349361658096313,5,29,0.4597225785255432,8,14,11,2,0.6782921552658081
41,10,2,8,27,0.2472047209739685,14,1,0.6173229217529297,9,11,12,2,0.6753536462783813
41,20,2,8,23,0.2546416223049164,5,6,0.7347161173820496,9,6,11,1,0.8035311698913574
41,30,2,8,23,0.23793451488018036,5,5,0.7619879245758057,8,6,7,1,0.8369362354278564
41,40,2,8,22,0.2327360361814499,5,4,0.7626188397407532,8,6,7,1,0.8389312028884888
42,10,0,8,29,0.6946610808372498,14,29,0.1551269143819809,8,29,10,17,0.5954810976982117
42,20,0,8,28,0.6122642755508423,14,2,0.18646615743637085,8,23,10,14,0.5981308817863464
42,30,0,8,24,0.6038205623626709,6,6,0.3090876638889313,8,18,12,3,0.6677491068840027
42,40,0,8,22,0.41542771458625793,11,2,0.5783314108848572,8,17,10,3,0.7152674198150635
