num,data_div,unrestricted_axis,scale_index,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
10,40,2,3,8,23,0.3247200548648834,5,29,0.19982507824897766,8,14,14,1,0.39760690927505493
10,40,2,4,8,19,0.3230615556240082,5,29,0.15057870745658875,8,13,13,2,0.3624337911605835
12,10,0,0,14,29,0.05541552975773811,14,29,0.09086453169584274,11,22,11,29,0.06190606951713562
12,10,0,1,14,29,0.16726161539554596,14,29,0.2590886652469635,13,25,13,29,0.19898036122322083
12,10,0,2,9,26,0.27216866612434387,14,29,0.3109477162361145,13,18,12,29,0.3172963559627533
12,10,0,3,8,29,0.2634817957878113,14,29,0.23252755403518677,11,20,11,29,0.2954116463661194
12,10,0,4,8,29,0.2063351571559906,14,29,0.028224071487784386,8,29,14,3,0.19047775864601135
12,20,0,0,9,29,0.1359727531671524,14,29,0.16202297806739807,12,23,12,29,0.15615516901016235
12,20,0,1,9,27,0.24746137857437134,14,29,0.2511943578720093,11,20,11,29,0.28641974925994873
12,20,0,2,9,25,0.3042047917842865,14,29,0.29149141907691956,11,20,11,29,0.3652016818523407
12,20,0,3,8,29,0.2994321286678314,14,29,0.2272740602493286,13,16,12,27,0.35289567708969116
12,20,0,4,8,29,0.2406267672777176,14,29,0.11653359234333038,8,17,13,2,0.28088024258613586
12,30,0,0,9,23,0.1936092972755432,14,29,0.19808198511600494,13,17,12,28,0.26521381735801697
12,30,0,1,8,29,0.24224601686000824,14,4,0.23768356442451477,9,15,11,8,0.3394681513309479
12,30,0,2,8,29,0.24596893787384033,14,4,0.2630223333835602,8,22,10,4,0.37206795811653137
12,30,0,3,8,29,0.2470068484544754,14,4,0.24341130256652832,8,15,11,2,0.35874295234680176
12,30,0,4,8,29,0.19676174223423004,10,2,0.1861535757780075,8,12,12,1,0.29432204365730286
12,40,0,0,9,24,0.18655206263065338,14,12,0.2673499584197998,10,17,11,15,0.303245484828949
12,40,0,1,8,29,0.21875451505184174,14,3,0.3158383369445801,9,14,12,4,0.37866535782814026
12,40,0,2,8,29,0.21871984004974365,14,3,0.3425571322441101,9,11,12,3,0.4124903678894043
12,40,0,3,8,29,0.21065334975719452,12,3,0.321923166513443,9,13,14,2,0.38756847381591797
12,40,0,4,8,29,0.20100674033164978,14,3,0.26663628220558167,8,16,10,3,0.34881138801574707
14,10,1,0,8,29,0.26721954345703125,6,6,0.16339771449565887,8,29,10,11,0.22712481021881104
14,10,1,1,8,26,0.353120893239975,6,6,0.2618410587310791,8,26,10,10,0.3329295814037323
14,10,1,2,8,23,0.3583013117313385,6,7,0.26681259274482727,8,23,11,6,0.33600759506225586
14,10,1,3,8,20,0.33366236090660095,4,10,0.23914790153503418,8,18,14,2,0.31830206513404846
14,10,1,4,7,29,0.27602243423461914,2,29,0.1973615139722824,7,29,14,0,0.2651865780353546
14,20,1,0,8,22,0.2634267508983612,5,9,0.30220654606819153,8,22,9,4,0.3023233413696289
14,20,1,1,8,22,0.3540753722190857,7,5,0.3721214234828949,8,24,9,6,0.3853226602077484
14,20,1,2,8,20,0.3366619348526001,6,5,0.36357754468917847,8,21,9,4,0.37109068036079407
14,20,1,3,8,19,0.316594660282135,4,10,0.32274380326271057,8,18,10,3,0.34760358929634094
14,20,1,4,7,29,0.2947598695755005,5,6,0.3043724596500397,7,29,7,5,0.328357994556427
14,30,1,0,8,23,0.19760525226593018,5,9,0.290886789560318,8,29,5,9,0.2696497142314911
14,30,1,1,8,22,0.27321407198905945,5,6,0.31278708577156067,8,23,8,4,0.3186486065387726
14,30,1,2,8,22,0.2765238285064697,5,7,0.33204779028892517,8,22,8,4,0.3292785882949829
14,30,1,3,8,18,0.267267644405365,4,10,0.3016369938850403,8,17,9,3,0.3103305995464325
14,30,1,4,7,29,0.23047077655792236,3,11,0.25956404209136963,7,29,5,5,0.2680380344390869
14,40,1,0,8,19,0.2504376471042633,4,9,0.3349897563457489,8,19,7,3,0.3258841037750244
14,40,1,1,8,19,0.2835448384284973,4,9,0.34501612186431885,8,17,8,3,0.344913125038147
14,40,1,2,7,29,0.2807635962963104,4,7,0.35618871450424194,8,16,8,3,0.35204580426216125
14,40,1,3,7,29,0.2838529348373413,3,11,0.32199031114578247,7,29,5,4,0.3265044391155243
14,40,1,4,7,29,0.25383949279785156,2,23,0.2885418236255646,7,29,5,5,0.2851555347442627
