num,data_div,scale_index,average
58,30,4,0.08409111681664465
58,40,0,0.14009631806309022
58,40,1,0.15121804511278195
58,40,2,0.15204657796534005
58,40,3,0.13111399913359326
58,40,4,0.08738481607963373
90,10,0,0.0196964389959136
90,10,1,0.04275336950813933
90,10,2,0.07793115498864232
90,10,3,0.0618218410920546
90,10,4,0.02719848881139204
90,20,0,0.04149320323576015
90,20,1,0.07255090728747302
90,20,2,0.09276769593037285
90,20,3,0.08815190759537976
90,20,4,0.06545065803130319
90,30,0,0.06672963055625052
90,30,1,0.09927212789544314
90,30,2,0.11818393616401653
90,30,3,0.11457114522392788
90,30,4,0.09896292605970027
90,40,0,0.045891918939204406
90,40,1,0.07560680319738607
90,40,2,0.10006864531589325
90,40,3,0.099270796873177
90,40,4,0.08449744675551127
92,10,0,0.0036544074722708697
92,10,1,0.026267576871462747
92,10,2,0.05736959470141367
92,10,3,0.03304456889511142
92,10,4,0.005523311329762943
92,20,0,0.024912434325744307
92,20,1,0.07360989555983428
92,20,2,0.10945932453009162
92,20,3,0.08064278213910694
92,20,4,0.030343338730435505
92,30,0,0.04636310566258027
92,30,1,0.09041221774899352
92,30,2,0.107004318414418
92,30,3,0.08506508658766272
92,30,4,0.05012828496699464
92,40,0,0.09094028854974563
92,40,1,0.13936052278429312
92,40,2,0.14868409009593703
92,40,3,0.12433121656082803
92,40,4,0.0702744218873251
94,10,0,0.03000291885580852
94,10,1,0.05722620923041016
94,10,2,0.0801881297687693
94,10,3,0.06954597729886494
94,10,4,0.03751235106073816
94,20,0,0.061955633391710445
94,20,1,0.07906528969018028
94,20,2,0.08790261517851942
94,20,3,0.0869776822174442
94,20,4,0.07688753269398431
94,30,0,0.02368067717454757
94,30,1,0.03519458544839255
94,30,2,0.043272759042460245
94,30,3,0.03777938896944847
94,30,4,0.030709096192967158
94,40,0,0.05515469935785172
94,40,1,0.05844273294824669
94,40,2,0.05443531947113984
94,40,3,0.0546794006366985
94,40,4,0.045808112259725156
96,10,0,0.025201401050788087
96,10,1,0.03834529435789719
96,10,2,0.04435943519466147
96,10,3,0.03442130439855326
96,10,4,0.021595881595881595
96,20,0,0.02231048286214661
96,20,1,0.051073574887683056
96,20,2,0.05508807402045215
96,20,3,0.041281647415704115
96,20,4,0.01984306887532694
96,30,0,0.041906012842965565
96,30,1,0.061255032382286
96,30,2,0.055016516479036146
96,30,3,0.04152082604130206
96,30,4,0.021700087183958154
96,40,0,0.02406471520306897
96,40,1,0.04206196394188692
96,40,2,0.049800720567800764
96,40,3,0.04223544510558861
96,40,4,0.03066259808195292
98,10,0,0.02774956217162872
98,10,1,0.06256199311511756
98,10,2,0.10877037517785378
98,10,3,0.08701726753004316
98,10,4,0.04476813218748703
98,20,0,0.02086856809273622
98,20,1,0.047494019487718066
98,20,2,0.06816355058535732
98,20,3,0.05837125189592812
98,20,4,0.041113048532403364
98,30,0,0.042708698190309397
98,30,1,0.06789048369216408
98,30,2,0.08538978058460847
98,30,3,0.08311457239528643
98,30,4,0.0788317349607672
98,40,0,0.1743165707614044
98,40,1,0.22144524184608205
